Filename,psb_thfdmf_01_5,,,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,,,
rundate,19/12/2019,,,,,,,,,,,,
Sample name,PSB_THFDMF_01_5,,,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,,,
Procedure name,Sample,,,,,,,,,,,,
,Flow ramp,,,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,,,
[step],,,,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity,,
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s,,
-6.71748,0.815951,-8.23271,0.595811,19.99,262.461,0.371046,20.0391,394.219,0.595811,-379.865,0.0141975,,
8.89766,7.91E-03,1125.08,12.3863,19.99,266.507,0.376765,20.0278,4261090,12.3863,503.151,1.38E-04,,
11.7301,7.76E-03,1540.14,18.5467,19.99,276.578,0.391002,20.0206,4767950,18.5467,663.323,1.33E-04,,
11.7301,7.62E-03,1540.14,18.5467,19.99,276.578,0.391002,20.0206,4767950,18.5467,663.323,1.33E-04,,
11.4401,8.28E-03,1381.7,25.9523,19.99,261.621,0.369858,20.0282,3816280,25.9523,646.925,1.44E-04,,
11.3218,9.09E-03,1245.67,33.2923,20,253.235,0.358002,20.0227,3065450,33.2923,640.234,1.58E-04,,
11.0419,9.98E-03,1105.92,40.6324,19.99,242.971,0.343492,20.0294,2437350,40.6324,624.403,1.74E-04,,
10.3661,0.0108951,951.449,47.9724,20,234.912,0.332099,20.0145,1979000,47.9724,586.189,1.90E-04,,
9.83292,0.0119467,823.064,55.3124,20,231.007,0.326578,20.0242,1618550,55.3124,556.039,2.08E-04,,
9.53871,0.0130803,729.24,62.718,20,222.307,0.314279,20.0277,1299320,62.718,539.401,2.28E-04,,
9.16991,0.0143372,639.588,70.1236,20,217.874,0.308011,20.0283,1059920,70.1236,518.546,2.49E-04,,
8.71866,0.015698,555.4,77.4636,20,212.332,0.300178,20.0247,861644,77.4636,493.029,2.73E-04,,
8.43915,0.0171846,491.088,84.8036,20,204.303,0.288827,20.0237,691826,84.8036,477.222,2.99E-04,,
8.04111,0.0187861,428.035,92.1436,20,203.235,0.287317,20.0255,575871,92.1436,454.714,3.27E-04,,
7.75997,0.0206116,376.485,99.4837,20,194.322,0.274717,20.0269,457401,99.4837,438.816,3.59E-04,,
7.2834,0.022604,322.217,106.889,20,188.624,0.266661,20.0215,369170,106.889,411.866,3.93E-04,,
6.73048,0.0247289,272.171,114.295,20,183.761,0.259786,20.0342,300500,114.295,380.6,4.30E-04,,
6.64062,0.0271013,245.029,121.635,20,179.241,0.253396,20.0198,244037,121.635,375.518,4.72E-04,,
6.36075,0.0297015,214.156,128.975,20,176.523,0.249554,20.0273,200099,128.975,359.692,5.17E-04,,
6.15212,0.0325132,189.219,136.315,20,172.744,0.244211,20.0306,163412,136.315,347.894,5.66E-04,,
5.69839,0.0357141,159.556,143.655,20,165.051,0.233335,20.031,129401,143.655,322.236,6.21E-04,,
4.85337,0.0390575,124.262,151.061,20,158.027,0.223405,20.0273,103591,151.061,274.452,6.80E-04,,
4.44612,0.0427738,103.945,158.466,19.99,152.221,0.215197,20.0234,83199,158.466,251.422,7.44E-04,,
4.31093,0.0469177,91.8827,165.806,20,149.98,0.21203,20.022,68133.4,165.806,243.777,8.16E-04,,
4.08986,0.0513028,79.72,173.146,20,147.992,0.209219,20.0195,56228.5,173.146,231.276,8.93E-04,,
3.98254,0.0562116,70.8491,180.486,20,141.825,0.2005,20.0191,44884.9,180.486,225.207,9.78E-04,,
3.64207,0.0614122,59.3052,187.826,20,140.854,0.199128,20.0216,37347.4,187.826,205.954,1.07E-03,,
3.43538,0.0673842,50.982,195.232,19.99,135.735,0.191891,20.0195,29893.5,195.232,194.266,1.17E-03,,
3.21082,0.0738861,43.4564,202.637,20,131.056,0.185276,20.0211,24006.7,202.637,181.568,1.29E-03,,
2.80298,0.0808926,34.6507,209.977,20,124.508,0.176019,20.0206,19027.4,209.977,158.505,1.41E-03,,
2.73553,0.0886446,30.8596,217.317,20,119.306,0.168665,20.02,15183,217.317,154.691,1.54E-03,,
2.55756,0.0970547,26.3518,224.657,20,115.225,0.162895,20.0246,12232.4,224.657,144.627,1.69E-03,,
2.36922,0.106311,22.2859,231.997,20,111.458,0.157569,20.0273,9861.8,231.997,133.976,1.85E-03,,
2.23984,0.116492,19.2273,239.403,20,108.787,0.153794,20.0308,8016.43,239.403,126.66,2.03E-03,,
2.21807,0.127785,17.3579,246.809,20,108.69,0.153657,20.033,6656.3,246.809,125.429,2.22E-03,,
2.19137,0.139875,15.6666,254.149,20,107.131,0.151453,20.0353,5475.63,254.149,123.919,2.43E-03,,
2.14858,0.153245,14.0206,261.489,20,107.455,0.151911,20.0278,4575.67,261.489,121.5,2.67E-03,,
2.08459,0.167885,12.4167,268.829,20,105.554,0.149224,20.0263,3744.99,268.829,117.881,2.92E-03,,
1.8917,0.18381,10.2916,276.169,20,102.984,0.14559,20.0223,3048.09,276.169,106.973,3.20E-03,,
1.78281,0.201604,8.84313,283.574,20,100.849,0.142571,20.0238,2481.25,283.574,100.816,3.51E-03,,
1.58466,0.220926,7.17281,290.98,20,95.4635,0.134958,20.0244,1955.89,290.98,89.6104,3.84E-03,,
1.4862,0.241907,6.14366,298.32,20,90.4241,0.127834,20.0306,1545.21,298.32,84.0424,4.21E-03,,
1.5436,0.264958,5.82583,305.66,20,92.0954,0.130197,20.0317,1311.85,305.66,87.2885,4.61E-03,,
1.40431,0.290351,4.83658,313,20,91.1032,0.128794,20.0181,1080.65,313,79.4117,5.05E-03,,
1.26947,0.317891,3.99343,320.34,20,88.3354,0.124881,20.0228,874.137,320.34,71.7871,5.53E-03,,
1.22458,0.348432,3.51455,327.746,20,87.773,0.124086,20.0247,722.978,327.746,69.2485,6.06E-03,,
1.12058,0.382001,2.93346,335.151,20,79.9193,0.112983,20.0294,547.675,335.151,63.3675,6.65E-03,,
0.998566,0.418314,2.38712,342.491,20,74.9051,0.105895,20.0217,428.062,342.491,56.4676,7.28E-03,,
0.934399,0.458199,2.03929,349.831,20,71.989,0.101772,20.0341,342.893,349.831,52.839,7.97E-03,,
0.993246,0.501717,1.97969,357.171,20,75.9281,0.107341,20.0231,301.638,357.171,56.1667,8.73E-03,,
0.96099,0.549659,1.74834,364.511,20,74.398,0.105178,20.0292,246.249,364.511,54.3427,9.56E-03,,
0.780805,0.602479,1.29599,371.917,20,63.5647,0.0898625,20.0265,175.119,371.917,44.1535,0.0104831,,
0.710341,0.660284,1.07581,379.322,20,59.9601,0.0847667,20.0247,137.531,379.322,40.1688,0.0114889,,
0.734542,0.723315,1.01552,386.662,20,61.8069,0.0873774,20.0264,118.136,386.662,41.5374,0.0125857,,
0.688531,0.792071,0.869279,394.002,20,58.5325,0.0827483,20.0241,93.2972,394.002,38.9355,0.013782,,
0.652138,0.867456,0.751783,401.342,20,57.6931,0.0815618,20.0248,76.6707,401.342,36.8775,0.0150937,,
0.686035,0.950281,0.721929,408.683,20,57.2963,0.0810008,20.0261,63.4488,408.683,38.7944,0.0165348,,
0.59133,1.04146,0.567791,416.088,20,52.7877,0.0746269,20.0258,48.6686,416.088,33.4389,0.0181213,,
0.572985,1.14167,0.501882,423.494,20,52.4349,0.0741281,20.0225,40.2289,423.494,32.4015,0.0198651,,
0.515798,1.25026,0.412553,430.834,20,48.7362,0.0688992,20.0288,31.1782,430.834,29.1677,0.0217545,,
0.472586,1.36938,0.34511,438.174,20,46.4829,0.0657137,20.0322,24.7883,438.174,26.7241,0.0238271,,
0.50407,1.49991,0.336068,445.514,20,46.3758,0.0655622,20.0334,20.614,445.514,28.5045,0.0260983,,
0.504652,1.64242,0.307262,452.854,20,46.7647,0.066112,20.0266,17.3361,452.854,28.5374,0.028578,,
0.548335,1.80048,0.304549,460.259,20,48.7442,0.0689104,20.0272,15.0364,460.259,31.0076,0.0313283,,
0.58946,1.97355,0.29868,467.665,20,49.2058,0.069563,20.0272,12.6334,467.665,33.3332,0.0343397,,
0.687875,2.1615,0.31824,475.005,20,53.416,0.0755151,20.0299,11.433,475.005,38.8984,0.03761,,
0.749338,2.36736,0.316529,482.345,20,54.9258,0.0776495,20.0227,9.80048,482.345,42.3741,0.041192,,
0.908358,2.59282,0.350335,489.685,20,60.9969,0.0862323,20.0191,9.07322,489.685,51.3664,0.045115,,
1.01281,2.83927,0.356715,497.025,20,67.1375,0.0949133,20.0259,8.32822,497.025,57.273,0.0494031,,
1.1947,3.1129,0.383792,504.431,20,74.6892,0.105589,20.0176,7.70775,504.431,67.559,0.0541643,,
1.43826,3.41146,0.421598,511.836,20,87.4432,0.12362,20.0296,7.51357,511.836,81.3319,0.0593592,,
1.61277,3.73728,0.431535,519.176,20,93.955,0.132826,20.0132,6.7268,519.176,91.1998,0.0650285,,
1.55253,4.09218,0.379389,526.516,20,92.4552,0.130705,20.0246,5.52105,526.516,87.7935,0.0712038,,
1.44449,4.4823,0.322266,533.856,20,77.202,0.109142,20.0261,3.84261,533.856,81.6841,0.0779919,,
1.0923,4.9096,0.222483,541.196,20,67.212,0.0950188,20.0292,2.7884,541.196,61.7682,0.0854269,,
0.687926,5.38073,0.12785,548.602,20,49.1323,0.0694592,20.0221,1.69701,548.602,38.9013,0.0936245,,
0.519368,5.89797,0.0880587,556.007,20,40.2959,0.0569671,20.0225,1.15839,556.007,29.3695,0.102624,,
0.594862,6.45958,0.0920898,563.347,20,41.6626,0.0588991,20.0322,0.998476,563.347,33.6387,0.112397,,
0.869657,7.07465,0.122926,570.688,20,52.7188,0.0745294,20.0228,1.05331,570.688,49.178,0.123099,,
1.31154,7.74805,0.169274,578.028,20,72.9988,0.1032,20.0308,1.21599,578.028,74.1659,0.134816,,
1.62693,8.48807,0.191673,585.368,20,85.452,0.120805,20.0196,1.18606,585.368,92.0008,0.147692,,
1.16603,9.30218,0.12535,592.773,20,64.0384,0.0905322,20.0292,0.740067,592.773,65.9376,0.161858,,
0.640649,10.1959,0.062834,600.179,20,40.4196,0.0571418,20.0205,0.388813,600.179,36.2278,0.177408,,
0.737097,11.1664,0.0660102,607.519,20,42.5963,0.0602192,20.0247,0.341621,607.519,41.6819,0.194295,,
1.34966,12.2307,0.11035,614.859,20,69.1756,0.0977947,20.0252,0.462433,614.859,76.3215,0.212814,,
1.48235,13.3969,0.110648,622.199,20,72.6905,0.102764,20.0228,0.40501,622.199,83.825,0.233106,,
0.732263,14.6704,0.0499143,629.539,20,40.1649,0.0567818,20.0232,0.186622,629.539,41.4085,0.255264,,
1.02405,16.0806,0.0636824,636.944,20,50.1703,0.0709266,20.0217,0.194017,636.944,57.9089,0.279803,,
1.5831,17.6276,0.0898076,644.35,20,72.538,0.102548,20.0295,0.233441,644.35,89.522,0.30672,,
0.810829,19.3044,0.0420022,651.69,20,38.9232,0.0550264,20.0252,0.104447,651.69,45.8513,0.335896,,
1.42638,21.1423,0.0674658,659.03,20,61.9864,0.0876312,20.0238,0.138674,659.03,80.6598,0.367874,,
1.13102,23.1595,0.0488359,666.37,20,48.4968,0.0685608,20.025,0.0904178,666.37,63.9575,0.402975,,
1.3479,25.3598,0.053151,673.71,20,55.0307,0.0777978,20.0296,0.0855686,673.71,76.2217,0.441259,,
1.18641,27.8021,0.0426733,681.116,20,45.8896,0.0648749,20.0288,0.0593689,681.116,67.0897,0.483755,,
1.59683,30.4732,0.0524011,688.521,20,61.4737,0.0869064,20.0245,0.0661994,688.521,90.2985,0.530232,,
1.22218,33.3703,0.0366247,695.861,20,42.3135,0.0598193,20.0253,0.0379978,695.861,69.1125,0.580642,,
1.45684,36.5547,0.0398537,703.201,20,49.3964,0.0698325,20.0243,0.0369666,703.201,82.3824,0.63605,,
1.63431,40.0343,0.0408227,710.541,20,54.6888,0.0773144,20.0278,0.0341219,710.541,92.4181,0.696596,,
1.65615,43.8452,0.0377728,717.881,20,51.0159,0.072122,20.0264,0.0265376,717.881,93.6533,0.762904,,
1.67074,48.0599,0.0347638,725.287,20,49.1548,0.0694909,20.0308,0.0212814,725.287,94.4783,0.83624,,
1.76525,52.6786,0.0335099,732.693,19.99,49.3355,0.0697464,20.0262,0.0177783,732.693,99.8226,0.916605,,
1.82235,57.6932,0.0315869,740.033,20,46.6247,0.0659141,20.0255,0.0140077,740.033,103.051,1.00386,,
1.96732,63.1846,0.031136,747.373,20,49.6484,0.0701888,20.0346,0.0124361,747.373,111.249,1.09941,,
2.17521,69.212,0.0314282,754.713,20,51.5581,0.0728885,20.0292,0.010763,754.713,123.005,1.20429,,
2.10614,75.7897,0.0277892,762.053,20,43.779,0.0618911,20.03,7.62E-03,762.053,119.099,1.31874,,
2.36176,83.0883,0.0284247,769.458,20,48.4551,0.0685017,20.0299,7.02E-03,769.458,133.554,1.44573,,
2.51426,91.0679,0.0276086,776.864,20,47.0093,0.0664579,20.0262,5.67E-03,776.864,142.178,1.58458,,
2.64195,99.7394,0.0264885,784.204,20,46.8366,0.0662137,20.0248,4.71E-03,784.204,149.399,1.73546,,
2.78343,109.235,0.0254812,791.544,20,43.4443,0.061418,20.0269,3.64E-03,791.544,157.399,1.90068,,
3.06966,119.631,0.0256593,798.884,20,47.2598,0.066812,20.0277,3.30E-03,798.884,173.585,2.08158,,
3.19759,131.037,0.0244021,806.224,20,43.7153,0.0618011,20.0268,2.55E-03,806.224,180.819,2.28005,,
3.48669,143.629,0.0242756,813.629,20,43.7486,0.0618481,20.0226,2.12E-03,813.629,197.167,2.49914,,
3.75721,157.426,0.0238665,821.035,20,45.4479,0.0642505,20.0273,1.83E-03,821.035,212.465,2.73921,,
4.05208,172.432,0.0234996,828.375,20,44.7132,0.0632118,20.0188,1.50E-03,828.375,229.14,3.00031,,
4.34439,188.839,0.0230058,835.715,20,42.3386,0.0598548,20.0211,1.19E-03,835.715,245.669,3.28579,,
4.6433,206.828,0.0224501,843.055,20,43.1401,0.0609878,20.0312,1.01E-03,843.055,262.573,3.59879,,
5.01756,226.509,0.0221517,850.395,20,39.5121,0.055859,20.0324,7.70E-04,850.395,283.736,3.94125,,
5.43275,248.3,0.0218798,857.801,20,40.3907,0.057101,20.0312,6.55E-04,857.801,307.215,4.32041,,
5.84336,272.16,0.0214703,865.206,20,38.4757,0.0543938,20.0261,5.19E-04,865.206,330.434,4.73558,,
6.35112,298.072,0.0213073,872.546,20,35.9401,0.0508092,20.0206,4.05E-04,872.546,359.147,5.18645,,
6.90861,326.463,0.021162,879.886,20,39.1277,0.0553155,20.0236,3.67E-04,879.886,390.673,5.68044,,
7.47898,357.545,0.0209176,887.226,20,36.2033,0.0511812,20.0193,2.83E-04,887.226,422.926,6.22126,,
8.14102,391.595,0.0207894,894.566,20,35.6631,0.0504175,20.0206,2.33E-04,894.566,460.364,6.81374,,
8.84908,429.239,0.0206158,901.972,20,36.4984,0.0515984,20.0324,1.98E-04,901.972,500.404,7.46874,,
9.62425,470.477,0.0204563,909.378,20,32.1616,0.0454674,20.0248,1.45E-04,909.378,544.238,8.18629,,
10.4267,515.302,0.0202341,916.718,20,30.572,0.0432202,20.0277,1.15E-04,916.718,589.615,8.96624,,
11.3302,564.352,0.0200764,924.058,20,26.4908,0.0374505,20.0253,8.32E-05,924.058,640.705,9.8197,,
12.3399,618.114,0.0199638,931.398,20,21.2796,0.0300833,20.0313,5.57E-05,931.398,697.806,10.7552,,
13.4796,676.96,0.0199119,938.738,20,23.6896,0.0334904,20.0227,5.17E-05,938.738,762.252,11.7791,,
14.6322,742.042,0.0197189,946.143,20,13.5375,0.0191381,20.018,2.46E-05,946.143,827.433,12.9115,,
15.9569,813.346,0.0196188,953.549,20,9.11362,0.0128841,20.0287,1.38E-05,953.549,902.34,14.1522,,
17.363,890.808,0.0194913,960.889,20,2.03942,2.88E-03,20.0295,2.57E-06,960.889,981.853,15.5,,
18.9891,975.627,0.0194635,968.229,20,-6.99262,-9.89E-03,20.0217,-7.35E-06,968.229,1073.81,16.9759,,
20.7215,1068.54,0.0193922,975.569,20,-9.44831,-0.0133572,20.0137,-8.28E-06,975.569,1171.77,18.5926,,
22.6554,1170.3,0.0193587,982.909,20,-20.2025,-0.0285606,20.0138,-1.48E-05,982.909,1281.13,20.3631,,
24.836,1282.78,0.0193611,990.315,20,-30.52,-0.0431466,20.0312,-1.85E-05,990.315,1404.44,22.3203,,
27.1342,1406.08,0.0192977,997.72,20,-36.8254,-0.0520607,20.0296,-1.86E-05,997.72,1534.4,24.4658,,
29.6658,1539.96,0.019264,1005.06,20,-57.7984,-0.0817105,20.0256,-2.44E-05,1005.06,1677.56,26.7953,,
32.3755,1686.62,0.0191955,1012.4,20,-76.4105,-0.108023,20.0234,-2.69E-05,1012.4,1830.79,29.347,,
35.3858,1847.23,0.0191561,1019.74,20,-94.4166,-0.133478,20.0264,-2.77E-05,1019.74,2001.02,32.1417,,
38.6392,2023.12,0.0190988,1027.08,20,-126.896,-0.179395,20.017,-3.10E-05,1027.08,2184.99,35.2023,,
42.2223,2217.62,0.0190395,1034.49,20,-153.568,-0.217102,20.0212,-3.12E-05,1034.49,2387.61,38.5865,,
46.0974,2430.73,0.0189644,1041.89,20,-215.71,-0.304953,20.0067,-3.65E-05,1041.89,2606.75,42.2946,,
50.3823,2662.2,0.018925,1049.23,20,-270.065,-0.381795,20.0256,-3.81E-05,1049.23,2849.05,46.3223,,
55.1069,2915.72,0.0188999,1056.57,20,-322.983,-0.456607,20.0196,-3.80E-05,1056.57,3116.22,50.7334,,
60.1387,3193.37,0.0188324,1063.91,20,-408.36,-0.577306,20.0184,-4.00E-05,1063.91,3400.76,55.5645,,
65.6543,3497.46,0.018772,1071.25,20,-495.94,-0.701119,20.0257,-4.05E-05,1071.25,3712.66,60.8557,,
71.8902,3833.67,0.0187523,1078.66,20,-601.644,-0.850554,20.0151,-4.09E-05,1078.66,4065.3,66.7057,,
78.5471,4202.1,0.0186924,1086.06,20,-750.779,-1.06139,20.0183,-4.25E-05,1086.06,4441.73,73.1164,,
37.2562,4602.63,8.09E-03,1093.4,20.08,-916.805,-1.2961,20.0245,-4.33E-05,1093.4,2106.79,80.0855,,
27.971,5040.5,5.55E-03,1100.74,20.04,-1304.21,-1.84378,20.0209,-5.13E-05,1100.74,1581.72,87.7046,,
32.2259,5520.54,5.84E-03,1108.08,19.99,-1788.71,-2.52873,20.0296,-5.87E-05,1108.08,1822.33,96.0571,,
36.5429,6046.22,6.04E-03,1115.42,19.97,-1992.16,-2.81635,20.031,-5.45E-05,1115.42,2066.45,105.204,,
40.3394,6627.48,6.09E-03,1122.83,19.98,-2266.41,-3.20407,20.0289,-5.16E-05,1122.83,2281.14,115.318,,
44.1758,7264.38,6.08E-03,1130.23,19.98,-2634.07,-3.72384,20.0248,-4.99E-05,1130.23,2498.08,126.4,,
44.9186,7956.33,5.65E-03,1137.57,19.98,-2147,-3.03525,20.0299,-3.39E-05,1137.57,2540.09,138.44,,
35.3141,8713.83,4.05E-03,1144.91,19.99,-281.7,-0.398244,20.0315,-3.71E-06,1144.91,1996.96,151.62,,
35.2263,9543.73,3.69E-03,1152.25,19.99,-61.1294,-0.0864196,20.0306,-6.71E-07,1152.25,1992,166.061,,
34.139,10452.4,3.27E-03,1159.59,19.99,113.576,0.160564,20.0259,1.04E-06,1159.59,1930.51,181.871,,
37.5367,11457.1,3.28E-03,1167,19.99,78.6994,0.111259,20.0336,6.00E-07,1167,2122.65,199.353,,
41.252,12558.3,3.28E-03,1174.41,19.99,147.391,0.208369,20.0147,9.35E-07,1174.41,2332.74,218.513,,
46.4691,13754.1,3.38E-03,1181.75,19.99,111.737,0.157964,20.0267,5.91E-07,1181.75,2627.77,239.321,,
50.8604,15063.9,3.38E-03,1189.09,19.99,152.752,0.215948,20.0249,6.73E-07,1189.09,2876.09,262.11,,
54.8493,16484.8,3.33E-03,1196.36,19.99,148.149,0.209441,20.0286,5.45E-07,1196.36,3101.66,286.835,,
